timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2023-05-15T16:11:13,codecarbon,7ab56204-0ea6-4074-852c-0a2f4ea40c07,0.0639188289642334,5.7087537315156736e-08,8.931255193536288e-07,5.0,0.0,12.0,8.864170975155302e-08,0,2.118190129597982e-07,3.004607227113512e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:14,codecarbon,8d281207-e5ba-495b-acac-07c83da2115f,0.0615630149841308,5.5005709330240894e-08,8.934862814048298e-07,5.0,0.0,12.0,8.537769317626955e-08,0,2.0412604014078778e-07,2.8950373331705733e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:15,codecarbon,e9e38305-7362-4c6b-920c-03d8b2291266,0.0617618560791015,5.5239115158716864e-08,8.94388845567874e-07,5.0,0.0,12.0,8.567869663238526e-08,0,2.0505348841349282e-07,2.9073218504587805e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:16,codecarbon,80c8e72c-1c98-4c59-9786-b0ab37696474,0.066066026687622,5.9026030037138224e-08,8.93439987184777e-07,5.0,0.0,12.0,9.162657790713841e-08,0,2.190367380777995e-07,3.106633159849379e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:18,codecarbon,47ceff23-c4e0-4abf-8449-ad1fafef53bf,0.0638790130615234,5.7091576523251006e-08,8.937454382437736e-07,5.0,0.0,12.0,8.856521712409127e-08,0,2.1191676457722981e-07,3.004819817013211e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:22,codecarbon,03ab4e61-b3d2-4b57-b5d6-1f20662c2474,0.1371090412139892,1.2289062870873344e-07,8.96298505340251e-07,5.0,0.0,12.0,1.9036663903130426e-07,0,4.564261436462402e-07,6.467927826775445e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:24,codecarbon,7bd22a69-5657-4c4e-af06-d57344e1bc36,0.145294189453125,1.30222835805681e-07,8.962700868894256e-07,5.0,0.0,12.0,2.017266220516629e-07,0,4.836567242940267e-07,6.853833463456896e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:25,codecarbon,93e85b09-8285-4802-9e74-552fbdbfca50,0.0619878768920898,5.5365236600240073e-08,8.931623307025236e-07,5.0,0.0,12.0,8.594592412312825e-08,0,2.0545005798339845e-07,2.913959821065267e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:26,codecarbon,fdc59bfe-8495-485a-a2b1-1fd02b1f7467,0.0649559497833252,5.804789993498061e-08,8.93650237254818e-07,5.0,0.0,12.0,9.008579783969457e-08,0,2.1542946497599282e-07,3.055152628156874e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:27,codecarbon,228a18c9-e3d8-494b-bd5d-53a08e0056f8,0.0659241676330566,5.8951386478212144e-08,8.942302738859595e-07,5.0,0.0,12.0,9.145306216345893e-08,0,2.188173929850261e-07,3.10270455148485e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:29,codecarbon,19907b49-af31-4d9c-8166-081519197060,0.1020870208740234,9.141506817605761e-08,8.954621987535992e-07,5.0,0.0,12.0,1.416818963156806e-07,0,3.3945004145304365e-07,4.811319377687243e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:30,codecarbon,6669eefc-d7e0-4d81-82ca-89976d572e18,0.0631370544433593,5.6382437547047936e-08,8.930165976879545e-07,5.0,0.0,12.0,8.752942085266114e-08,0,2.092202504475912e-07,2.967496713002523e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:31,codecarbon,1809c0e1-b2fe-41bb-a1d7-3dd5b11aa604,0.0633690357208252,5.6602970759073894e-08,8.93227585290086e-07,5.0,0.0,12.0,8.783340454101565e-08,0,2.1007696787516285e-07,2.979103724161784e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:32,codecarbon,6f1f59ab-084c-4992-bd22-773c30529304,0.0613839626312255,5.489648713005913e-08,8.94313185022918e-07,5.0,0.0,12.0,8.515252007378472e-08,0,2.0377635955810545e-07,2.8892887963189017e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:11:33,codecarbon,df62c104-70a0-4b02-8d2a-32872601f57d,0.1095800399780273,9.811431500646804e-08,8.953666655546175e-07,5.0,0.0,12.0,1.5208754274580217e-07,0,3.643035888671875e-07,5.163911316129897e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
